sku,store_view_code,price,special_price,special_price_from_date,special_price_to_date,regular_price_per_weight_unit,special_price_per_weight_unit,product_online
10252746,"thailand_hy_th",204,169,25-JAN-24,21-FEB-24,204,169,1
10282157,"thailand_gf_th",109,85,04-JAN-24,20-MAR-24,109,85,1
10282157,"thailand_hy_th",109,107,25-JAN-24,21-FEB-24,109,107,1
10282165,"thailand_gf_th",109,109,25-JAN-24,25-JAN-24,109,109,1
10282165,"thailand_hy_th",109,85,25-JAN-24,21-FEB-24,109,85,1
10283145,"thailand_gf_th",16,15,25-JAN-24,31-JAN-24,16,15,1
10283145,"thailand_hy_th",16.5,15,25-JAN-24,31-JAN-24,16.5,15,1
10284028,"thailand_gf_th",15,12,25-JAN-24,21-FEB-24,15,12,1
10284028,"thailand_hy_th",15,12,25-JAN-24,21-FEB-24,15,12,1
10288775,"thailand_gf_th",55,50,25-JAN-24,21-FEB-24,55,50,1
10288775,"thailand_hy_th",55,50,25-JAN-24,21-FEB-24,55,50,1
10288783,"thailand_gf_th",55,50,25-JAN-24,21-FEB-24,55,50,2
10288783,"thailand_hy_th",55,50,25-JAN-24,21-FEB-24,55,50,2
10288791,"thailand_gf_th",55,50,25-JAN-24,21-FEB-24,55,50,2
10288791,"thailand_hy_th",55,50,25-JAN-24,21-FEB-24,55,50,2
10288848,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,2
11441798,"thailand_hy_th",169,139,25-JAN-24,21-FEB-24,169,139,1
11459603,"thailand_gf_th",92,78,25-JAN-24,21-FEB-24,92,78,2
11459603,"thailand_hy_th",92,78,25-JAN-24,21-FEB-24,92,78,1
11467398,"thailand_gf_th",40,37,25-JAN-24,21-FEB-24,40,37,1
11467398,"thailand_hy_th",40,37,25-JAN-24,21-FEB-24,40,37,1
11482893,"thailand_gf_th",19,19,25-JAN-24,25-JAN-24,19,19,1
11482893,"thailand_hy_th",18,16,25-JAN-24,21-FEB-24,18,16,2
11483458,"thailand_gf_th",46,35,25-JAN-24,21-FEB-24,46,35,1
11483458,"thailand_hy_th",46,46,25-JAN-24,25-JAN-24,46,46,1
11509260,"thailand_gf_th",192,192,25-JAN-24,25-JAN-24,192,192,1
11509260,"thailand_hy_th",192,167,25-JAN-24,21-FEB-24,192,167,1
11525045,"thailand_gf_th",399,399,25-JAN-24,25-JAN-24,399,399,1
11525045,"thailand_hy_th",399,299,25-JAN-24,21-FEB-24,399,299,1
11526025,"thailand_gf_th",15,12,25-JAN-24,21-FEB-24,15,12,1
11526025,"thailand_hy_th",15,12,25-JAN-24,21-FEB-24,15,12,1
11528036,"thailand_gf_th",109,95,25-JAN-24,21-FEB-24,109,95,1
11528036,"thailand_hy_th",105,95,25-JAN-24,21-FEB-24,105,95,1
11545348,"thailand_gf_th",4190,4190,25-JAN-24,25-JAN-24,4190,4190,2
11545348,"thailand_hy_th",4190,2890,25-JAN-24,21-FEB-24,4190,2890,1
11551461,"thailand_gf_th",52,52,25-JAN-24,25-JAN-24,52,52,1
11551461,"thailand_hy_th",52,49,25-JAN-24,21-FEB-24,52,49,1
11551666,"thailand_gf_th",55,55,25-JAN-24,25-JAN-24,55,55,1
11551666,"thailand_hy_th",55,49,25-JAN-24,21-FEB-24,55,49,1
11565152,"thailand_gf_th",18,18,25-JAN-24,25-JAN-24,18,18,1
11565152,"thailand_hy_th",18,16,25-JAN-24,21-FEB-24,18,16,1
11569719,"thailand_gf_th",112,99,25-JAN-24,14-FEB-24,112,99,1
11569719,"thailand_hy_th",112,99,25-JAN-24,14-FEB-24,112,99,1
11636351,"thailand_gf_th",62,45,25-JAN-24,21-FEB-24,62,45,1
11636351,"thailand_hy_th",62,45,25-JAN-24,21-FEB-24,62,45,1
11685786,"thailand_gf_th",49,49,25-JAN-24,25-JAN-24,49,49,1
10288848,"thailand_hy_th",47,42,25-JAN-24,21-FEB-24,47,42,2
10288856,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,2
10288856,"thailand_hy_th",47,42,25-JAN-24,21-FEB-24,47,42,2
10288864,"thailand_gf_th",54,54,25-JAN-24,25-JAN-24,54,54,1
10288864,"thailand_hy_th",54,49,25-JAN-24,21-FEB-24,54,49,1
10288872,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,1
10288872,"thailand_hy_th",47,42,25-JAN-24,21-FEB-24,47,42,1
10297219,"thailand_gf_th",93,93,25-JAN-24,25-JAN-24,93,93,1
10297219,"thailand_hy_th",90,75,25-JAN-24,21-FEB-24,90,75,1
10349189,"thailand_gf_th",132,119,25-JAN-24,21-FEB-24,132,119,1
10349189,"thailand_hy_th",129,109,25-JAN-24,21-FEB-24,129,109,1
10366407,"thailand_gf_th",40,40,25-JAN-24,25-JAN-24,40,40,1
10366407,"thailand_hy_th",35,29,25-JAN-24,21-FEB-24,35,29,1
10366415,"thailand_gf_th",41,41,25-JAN-24,25-JAN-24,41,41,1
10366415,"thailand_hy_th",41,36,25-JAN-24,21-FEB-24,41,36,1
10379509,"thailand_gf_th",49,49,25-JAN-24,25-JAN-24,49,49,1
10379509,"thailand_hy_th",49,39,25-JAN-24,21-FEB-24,49,39,1
1045318,"thailand_gf_th",79,79,25-JAN-24,25-JAN-24,79,79,1
1045318,"thailand_hy_th",79,79,25-JAN-24,25-JAN-24,79,79,1
10525750,"thailand_gf_th",40,40,25-JAN-24,25-JAN-24,40,40,1
10525750,"thailand_hy_th",38,36,25-JAN-24,21-FEB-24,38,36,1
10525769,"thailand_gf_th",40,40,25-JAN-24,25-JAN-24,40,40,1
10525769,"thailand_hy_th",38,36,25-JAN-24,21-FEB-24,38,36,1
10628215,"thailand_gf_th",23,23,25-JAN-24,25-JAN-24,23,23,1
10628215,"thailand_hy_th",23,21,25-JAN-24,21-FEB-24,23,21,1
10628258,"thailand_gf_th",74,74,25-JAN-24,25-JAN-24,74,74,1
10628258,"thailand_hy_th",70,63,25-JAN-24,21-FEB-24,70,63,1
10628266,"thailand_gf_th",55,55,25-JAN-24,25-JAN-24,55,55,1
10628266,"thailand_hy_th",55,49.5,25-JAN-24,21-FEB-24,55,49.5,1
10691359,"thailand_gf_th",1491,1491,25-JAN-24,25-JAN-24,1491,1491,2
10691359,"thailand_hy_th",1491,1179,25-JAN-24,21-FEB-24,1491,1179,1
10693114,"thailand_gf_th",58,52,25-JAN-24,21-FEB-24,58,52,1
1012118,"thailand_gf_th",17,12,25-JAN-24,21-FEB-24,17,12,1
1012118,"thailand_hy_th",17,12,25-JAN-24,21-FEB-24,17,12,1
1012614,"thailand_gf_th",38,36,25-JAN-24,21-FEB-24,38,36,1
1012614,"thailand_hy_th",38,36,25-JAN-24,21-FEB-24,38,36,1
10169210,"thailand_gf_th",189,189,25-JAN-24,25-JAN-24,189,189,1
10169210,"thailand_hy_th",189,155,25-JAN-24,21-FEB-24,189,155,1
10171924,"thailand_gf_th",114,114,25-JAN-24,25-JAN-24,114,114,1
10171924,"thailand_hy_th",114,99,25-JAN-24,21-FEB-24,114,99,1
10174443,"thailand_gf_th",25,23,25-JAN-24,21-FEB-24,25,23,1
10174443,"thailand_hy_th",25,23,25-JAN-24,21-FEB-24,25,23,1
10228527,"thailand_gf_th",369,369,25-JAN-24,25-JAN-24,369,369,1
10228527,"thailand_hy_th",369,328,25-JAN-24,21-FEB-24,369,328,1
10235698,"thailand_gf_th",90,90,25-JAN-24,25-JAN-24,90,90,2
10235698,"thailand_hy_th",90,85,25-JAN-24,21-FEB-24,90,85,1
